TWA/TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
39;0;0.069;0.138;0.206;0.275;0.413;0.55;0.838;1.125;1.75;2.375;2.425;2.475;2.563;2.65;2.787;2.925;3.144;3.363;3.581;3.8;3.84;3.88;3.92;3.96;4;3.995;3.99;3.985;3.98;3.975;3.975;3.975;3.975;3.975;3.975;3.975;3.975;3.975;3.975;3.975
40;0;0.075;0.15;0.225;0.3;0.45;0.6;0.9;1.2;1.85;2.5;2.55;2.6;2.7;2.8;2.95;3.1;3.325;3.55;3.775;4;4.04;4.08;4.12;4.16;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2;4.2
41;0;0.08;0.16;0.24;0.32;0.48;0.64;0.96;1.28;1.95;2.62;2.68;2.74;2.86;2.98;3.13;3.28;3.515;3.75;3.985;4.22;4.26;4.3;4.34;4.38;4.42;4.42;4.42;4.42;4.42;4.42;4.42;4.42;4.42;4.42;4.42;4.42;4.42;4.42;4.42;4.42
42;0;0.085;0.17;0.255;0.34;0.51;0.68;1.02;1.36;2.05;2.74;2.81;2.88;3.02;3.16;3.31;3.46;3.705;3.95;4.195;4.44;4.48;4.52;4.56;4.6;4.64;4.64;4.64;4.64;4.64;4.64;4.64;4.64;4.64;4.64;4.64;4.64;4.64;4.64;4.64;4.64
43;0;0.09;0.18;0.27;0.36;0.54;0.72;1.08;1.44;2.15;2.86;2.94;3.02;3.18;3.34;3.49;3.64;3.895;4.15;4.405;4.66;4.7;4.74;4.78;4.82;4.86;4.86;4.86;4.86;4.86;4.86;4.86;4.86;4.86;4.86;4.86;4.86;4.86;4.86;4.86;4.86
44;0;0.095;0.19;0.285;0.38;0.57;0.76;1.14;1.52;2.25;2.98;3.07;3.16;3.34;3.52;3.67;3.82;4.085;4.35;4.615;4.88;4.92;4.96;5;5.04;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08;5.08
45;0;0.1;0.2;0.3;0.4;0.6;0.8;1.2;1.6;2.35;3.1;3.2;3.3;3.5;3.7;3.85;4;4.275;4.55;4.825;5.1;5.14;5.18;5.22;5.26;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3;5.3
46;0;0.111;0.221;0.332;0.443;0.657;0.871;1.279;1.686;2.443;3.2;3.314;3.429;3.636;3.843;4.007;4.171;4.45;4.729;5.007;5.286;5.326;5.366;5.406;5.446;5.486;5.489;5.491;5.494;5.497;5.5;5.5;5.5;5.5;5.5;5.5;5.5;5.5;5.5;5.5;5.5
47;0;0.121;0.243;0.364;0.486;0.714;0.943;1.357;1.771;2.536;3.3;3.429;3.557;3.771;3.986;4.164;4.343;4.625;4.907;5.189;5.471;5.511;5.551;5.591;5.631;5.671;5.677;5.683;5.689;5.694;5.7;5.7;5.7;5.7;5.7;5.7;5.7;5.7;5.7;5.7;5.7
48;0;0.132;0.264;0.396;0.529;0.771;1.014;1.436;1.857;2.629;3.4;3.543;3.686;3.907;4.129;4.321;4.514;4.8;5.086;5.371;5.657;5.697;5.737;5.777;5.817;5.857;5.866;5.874;5.883;5.891;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9;5.9
