TWA/TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40
169;0;0.283;0.565;0.848;1.13;1.385;1.64;1.95;2.26;2.765;3.27;3.685;4.1;4.595;5.09;5.58;6.07;6.378;6.685;6.993;7.3;7.53;7.76;7.99;8.22;8.45;8.614;8.778;8.942;9.106;9.27;9.452;9.634;9.816;9.998;10.18;10.18;10.18;10.18;10.18;10.18
170;0;0.275;0.55;0.825;1.1;1.35;1.6;1.9;2.2;2.7;3.2;3.6;4;4.5;5;5.5;6;6.3;6.6;6.9;7.2;7.42;7.64;7.86;8.08;8.3;8.46;8.62;8.78;8.94;9.1;9.28;9.46;9.64;9.82;10;10;10;10;10;10
171;0;0.27;0.54;0.81;1.08;1.32;1.56;1.86;2.16;2.65;3.14;3.535;3.93;4.43;4.93;5.43;5.93;6.228;6.525;6.823;7.12;7.33;7.54;7.75;7.96;8.17;8.328;8.486;8.644;8.802;8.96;9.136;9.312;9.488;9.664;9.84;9.84;9.84;9.84;9.84;9.84
172;0;0.265;0.53;0.795;1.06;1.29;1.52;1.82;2.12;2.6;3.08;3.47;3.86;4.36;4.86;5.36;5.86;6.155;6.45;6.745;7.04;7.24;7.44;7.64;7.84;8.04;8.196;8.352;8.508;8.664;8.82;8.992;9.164;9.336;9.508;9.68;9.68;9.68;9.68;9.68;9.68
173;0;0.26;0.52;0.78;1.04;1.26;1.48;1.78;2.08;2.55;3.02;3.405;3.79;4.29;4.79;5.29;5.79;6.083;6.375;6.668;6.96;7.15;7.34;7.53;7.72;7.91;8.064;8.218;8.372;8.526;8.68;8.848;9.016;9.184;9.352;9.52;9.52;9.52;9.52;9.52;9.52
174;0;0.255;0.51;0.765;1.02;1.23;1.44;1.74;2.04;2.5;2.96;3.34;3.72;4.22;4.72;5.22;5.72;6.01;6.3;6.59;6.88;7.06;7.24;7.42;7.6;7.78;7.932;8.084;8.236;8.388;8.54;8.704;8.868;9.032;9.196;9.36;9.36;9.36;9.36;9.36;9.36
175;0;0.25;0.5;0.75;1;1.2;1.4;1.7;2;2.45;2.9;3.275;3.65;4.15;4.65;5.15;5.65;5.938;6.225;6.513;6.8;6.97;7.14;7.31;7.48;7.65;7.8;7.95;8.1;8.25;8.4;8.56;8.72;8.88;9.04;9.2;9.2;9.2;9.2;9.2;9.2
176;0;0.245;0.49;0.735;0.98;1.17;1.36;1.66;1.96;2.4;2.84;3.21;3.58;4.08;4.58;5.08;5.58;5.865;6.15;6.435;6.72;6.88;7.04;7.2;7.36;7.52;7.668;7.816;7.964;8.112;8.26;8.416;8.572;8.728;8.884;9.04;9.04;9.04;9.04;9.04;9.04
177;0;0.24;0.48;0.72;0.96;1.14;1.32;1.62;1.92;2.35;2.78;3.145;3.51;4.01;4.51;5.01;5.51;5.793;6.075;6.358;6.64;6.79;6.94;7.09;7.24;7.39;7.536;7.682;7.828;7.974;8.12;8.272;8.424;8.576;8.728;8.88;8.88;8.88;8.88;8.88;8.88
178;0;0.235;0.47;0.705;0.94;1.11;1.28;1.58;1.88;2.3;2.72;3.08;3.44;3.94;4.44;4.94;5.44;5.72;6;6.28;6.56;6.7;6.84;6.98;7.12;7.26;7.404;7.548;7.692;7.836;7.98;8.128;8.276;8.424;8.572;8.72;8.72;8.72;8.72;8.72;8.72
179;0;0.23;0.46;0.69;0.92;1.08;1.24;1.54;1.84;2.25;2.66;3.015;3.37;3.87;4.37;4.87;5.37;5.648;5.925;6.203;6.48;6.61;6.74;6.87;7;7.13;7.272;7.414;7.556;7.698;7.84;7.984;8.128;8.272;8.416;8.56;8.56;8.56;8.56;8.56;8.56
180;0;0.225;0.45;0.675;0.9;1.05;1.2;1.5;1.8;2.2;2.6;2.95;3.3;3.8;4.3;4.8;5.3;5.575;5.85;6.125;6.4;6.52;6.64;6.76;6.88;7;7.14;7.28;7.42;7.56;7.7;7.84;7.98;8.12;8.26;8.4;8.4;8.4;8.4;8.4;8.4
