TWA/TWS;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;80
27;0;0,229;0,459;0,689;0,919;1,149;1,379;1,609;1,839;2,067;2,295;2,523;2,751;2,98;3,101;3,223;3,345;3,467;3,589;3,627;3,665;3,703;3,741;3,779;3,709;3,639;3,569;3,499;3,43;3,352;3,275;3,197;3,12;3,042;2,965;2,888;2,836;2,785;2,734;2,683;2,632;1,5792
28;0;0,238;0,476;0,715;0,953;1,191;1,43;1,668;1,907;2,143;2,38;2,616;2,853;3,09;3,216;3,342;3,469;3,595;3,722;3,761;3,8;3,84;3,879;3,919;3,846;3,774;3,701;3,629;3,557;3,476;3,396;3,316;3,235;3,155;3,075;2,995;2,941;2,888;2,835;2,782;2,729;1,6374
29;0;0,246;0,493;0,74;0,987;1,234;1,481;1,728;1,975;2,22;2,465;2,71;2,955;3,201;3,331;3,462;3,592;3,723;3,854;3,895;3,936;3,977;4,018;4,059;3,984;3,909;3,834;3,759;3,684;3,6;3,517;3,434;3,351;3,268;3,185;3,102;3,047;2,992;2,937;2,882;2,827;1,6962
30;0;0,255;0,51;0,766;1,021;1,276;1,532;1,787;2,043;2,296;2,55;2,803;3,057;3,311;3,446;3,581;3,716;3,851;3,987;4,029;4,071;4,114;4,156;4,199;4,121;4,043;3,966;3,888;3,811;3,725;3,639;3,553;3,467;3,381;3,295;3,209;3,152;3,095;3,038;2,981;2,924;1,7544
31;0;0,263;0,527;0,791;1,055;1,319;1,583;1,847;2,111;2,373;2,635;2,897;3,159;3,421;3,56;3,7;3,84;3,98;4,12;4,163;4,207;4,251;4,295;4,339;4,258;4,178;4,098;4,018;3,938;3,849;3,76;3,671;3,582;3,493;3,404;3,316;3,257;3,198;3,139;3,08;3,022;1,8132
32;0;0,272;0,544;0,817;1,089;1,361;1,634;1,906;2,179;2,449;2,72;2,99;3,261;3,532;3,676;3,82;3,964;4,108;4,253;4,298;4,343;4,388;4,433;4,479;4,396;4,313;4,23;4,147;4,065;3,973;3,881;3,789;3,698;3,606;3,514;3,423;3,362;3,301;3,24;3,179;3,119;1,8714
33;0;0,28;0,561;0,842;1,123;1,404;1,685;1,966;2,247;2,526;2,805;3,084;3,363;3,642;3,79;3,939;4,088;4,237;4,386;4,432;4,479;4,525;4,572;4,619;4,533;4,448;4,362;4,277;4,192;4,097;4,002;3,908;3,813;3,719;3,624;3,53;3,467;3,404;3,342;3,279;3,217;1,9302
34;0;0,289;0,579;0,868;1,158;1,447;1,737;2,026;2,316;2,603;2,89;3,177;3,464;3,752;3,905;4,058;4,212;4,365;4,519;4,567;4,615;4,663;4,711;4,759;4,671;4,583;4,495;4,407;4,319;4,221;4,124;4,026;3,929;3,831;3,734;3,637;3,572;3,507;3,443;3,378;3,314;1,9884
35;0;0,298;0,596;0,894;1,192;1,49;1,788;2,086;2,384;2,679;2,975;3,271;3,567;3,863;4,02;4,178;4,336;4,494;4,652;4,701;4,75;4,8;4,849;4,899;4,808;4,717;4,627;4,536;4,446;4,345;4,245;4,145;4,044;3,944;3,844;3,744;3,677;3,611;3,544;3,478;3,412;2,0472
36;0;0,357;0,715;1,073;1,431;1,789;2,147;2,505;2,863;3,217;3,572;3,927;4,282;4,637;4,826;5,015;5,205;5,394;5,584;5,643;5,702;5,762;5,821;5,881;5,772;5,663;5,554;5,445;5,336;5,215;5,095;4,974;4,854;4,733;4,613;4,493;4,413;4,334;4,254;4,175;4,096;2,4576
37;0;0,417;0,835;1,253;1,671;2,088;2,506;2,924;3,342;3,755;4,169;4,582;4,996;5,41;5,631;5,852;6,073;6,294;6,516;6,585;6,654;6,724;6,793;6,863;6,735;6,608;6,48;6,353;6,226;6,085;5,944;5,804;5,663;5,523;5,382;5,242;5,149;5,057;4,965;4,873;4,781;2,8686
